date,days,new_cases,total_cases,total_deaths,new_deaths,total_tests,new_tests
31-12-2019,0,0,0,0,0,,
01-01-2020,1,0,0,0,0,,
02-01-2020,2,0,0,0,0,,
03-01-2020,3,0,0,0,0,,
04-01-2020,4,0,0,0,0,,
05-01-2020,5,0,0,0,0,,
06-01-2020,6,0,0,0,0,,
07-01-2020,7,0,0,0,0,,
08-01-2020,8,0,0,0,0,,
09-01-2020,9,0,0,0,0,,
10-01-2020,10,0,0,0,0,,
11-01-2020,11,0,0,0,0,,
12-01-2020,12,0,0,0,0,,
13-01-2020,13,0,0,0,0,,
14-01-2020,14,0,0,0,0,,
15-01-2020,15,0,0,0,0,,
16-01-2020,16,0,0,0,0,,
17-01-2020,17,0,0,0,0,,
18-01-2020,18,0,0,0,0,,
19-01-2020,19,0,0,0,0,,
20-01-2020,20,0,0,0,0,,
21-01-2020,21,0,0,0,0,,
22-01-2020,22,0,0,0,0,,
23-01-2020,23,0,0,0,0,,
24-01-2020,24,0,0,0,0,,
25-01-2020,25,0,0,0,0,,
26-01-2020,26,0,0,0,0,,
27-01-2020,27,0,0,0,0,,
28-01-2020,28,0,0,0,0,,
29-01-2020,29,0,0,0,0,,
30-01-2020,30,1,1,0,0,,
31-01-2020,31,0,1,0,0,,
01-02-2020,32,0,1,0,0,,
02-02-2020,33,1,2,0,0,,
03-02-2020,34,0,2,0,0,,
04-02-2020,35,1,3,0,0,,
05-02-2020,36,0,3,0,0,,
06-02-2020,37,0,3,0,0,,
07-02-2020,38,0,3,0,0,,
08-02-2020,39,0,3,0,0,,
09-02-2020,40,0,3,0,0,,
10-02-2020,41,0,3,0,0,,
11-02-2020,42,0,3,0,0,,
12-02-2020,43,0,3,0,0,,
13-02-2020,44,0,3,0,0,,
14-02-2020,45,0,3,0,0,,
15-02-2020,46,0,3,0,0,,
16-02-2020,47,0,3,0,0,,
17-02-2020,48,0,3,0,0,,
18-02-2020,49,0,3,0,0,,
19-02-2020,50,0,3,0,0,,
20-02-2020,51,0,3,0,0,,
21-02-2020,52,0,3,0,0,,
22-02-2020,53,0,3,0,0,,
23-02-2020,54,0,3,0,0,,
24-02-2020,55,0,3,0,0,,
25-02-2020,56,0,3,0,0,,
26-02-2020,57,0,3,0,0,,
27-02-2020,58,0,3,0,0,,
28-02-2020,59,0,3,0,0,,
29-02-2020,60,0,3,0,0,,
01-03-2020,61,0,3,0,0,,
02-03-2020,62,0,3,0,0,,
03-03-2020,63,2,5,0,0,,
04-03-2020,64,1,6,0,0,,
05-03-2020,65,22,28,0,0,,
06-03-2020,66,1,29,0,0,,
07-03-2020,67,2,31,0,0,,
08-03-2020,68,3,34,0,0,,
09-03-2020,69,0,34,0,0,,
10-03-2020,70,10,44,0,0,,
11-03-2020,71,6,50,0,0,,
12-03-2020,72,23,73,0,0,,
13-03-2020,73,2,75,1,1,6500,
14-03-2020,74,8,83,2,1,,
15-03-2020,75,7,90,2,0,,
16-03-2020,76,3,93,2,0,,
17-03-2020,77,32,125,3,1,,
18-03-2020,78,12,137,3,0,13125,
19-03-2020,79,28,165,3,0,13316,191
20-03-2020,80,26,191,4,1,14376,1060
21-03-2020,81,40,231,4,0,15701,1325
22-03-2020,82,89,320,4,0,16999,1298
23-03-2020,83,119,439,7,3,20707,3708
24-03-2020,84,53,492,9,2,20864,157
